Code,Waarde,DatumVanaf,DatumTot,Toelichting
8027,Kiribati,1979-07-12,9999-12-31,
8028,Tuvalu,1975-10-01,9999-12-31,
8029,Saint Lucia,1832-01-01,9999-12-31,
8030,Dominica,1832-01-01,9999-12-31,
8031,Zimbabwe,1979-06-01,9999-12-31,
8032,Dubai,1832-01-01,1991-06-01,*
8033,Nieuwe Hebriden,1832-01-01,1980-07-30,
8034,Kanaaleilanden,1832-01-01,9999-12-31,
8035,Man,1832-01-01,9999-12-31,
8036,Anguilla,1832-01-01,9999-12-31,
8037,Saint Kitts en Nevis,1832-01-01,9999-12-31,
8038,Antigua,1832-01-01,1981-11-01,
8039,Saint Vincent,1832-01-01,1979-10-27,
8040,Gilberteilanden,1832-01-01,1979-07-12,
8041,Panamakanaalzone,1832-01-01,9999-12-31,
8042,Saint Kitts Nevis en Anguilla,1967-02-27,1980-12-19,
8043,Belau,1832-01-01,1994-10-01,
8044,Palau,1994-10-01,9999-12-31,
8045,Antigua en Barbuda,1981-11-01,9999-12-31,
9000,Newfoundland,1832-01-01,1991-06-01,*
9001,Nyasaland,1832-01-01,1964-07-06,
9003,Eritrea,1832-01-01,9999-12-31,
9005,Ifni,1832-01-01,1969-01-06,
9006,Brits-Kameroen,1832-01-01,1961-10-01,
9007,Keizer Wilhelmsland,1832-01-01,1991-06-01,*
9008,Congo,1960-08-15,9999-12-31,
9009,Congo-Kinshasa,1832-01-01,1971-10-27,
9010,Madagaskar,1832-01-01,9999-12-31,
9013,Congo-Brazzaville,1832-01-01,1960-08-15,
9014,Leewardeilanden,1832-01-01,1991-06-01,*
9015,Windwardeilanden,1832-01-01,1991-06-01,*
9016,Frans Territorium voor Afars en Issa's,1832-01-01,1977-06-27,
9017,Phoenixeilanden,1832-01-01,1991-06-01,*
9020,Portugees-Guinee,1832-01-01,1974-09-10,
9022,Duits Zuidwest-Afrika,1832-01-01,1991-06-01,*
9023,Namibië,1968-01-31,9999-12-31,
9027,Brits-Somaliland,1832-01-01,1960-07-01,
9028,Italiaans-Somaliland,1832-01-01,1960-07-01,
9030,Nederlands-Indië,1832-01-01,1949-12-27,
9031,Brits-Guyana,1832-01-01,1966-05-26,
9036,Swaziland,1832-01-01,9999-12-31,
9037,Qatar,1832-01-01,9999-12-31,
9041,Aden,1832-01-01,1991-06-01,*
9042,Zuid-Arabische Federatie,1959-02-11,1967-11-27,
9043,Equatoriaal-Guinea,1832-01-01,9999-12-31,
9044,Spaans-Guinee,1832-01-01,1991-06-01,*
9047,Verenigde Arabische Republiek,1958-02-22,1961-09-28,
9048,Bermuda,1832-01-01,9999-12-31,
9049,Sovjet-Unie,1917-11-07,1991-12-31,
9050,Duits Oost-Afrika,1832-01-01,1991-06-01,*
9051,Zanzibar,1832-01-01,1964-04-27,
9052,Ceylon,1832-01-01,1972-05-22,
9053,Muscat en Oman,1832-01-01,1970-08-09,
9054,Trucial Oman,1832-01-01,1971-12-02,
9055,Indochina,1832-01-01,1991-06-01,*
9056,Marshalleilanden,1832-01-01,9999-12-31,
9057,Sarawak,1832-01-01,1991-06-01,*
9058,Brits-Borneo,1832-01-01,1963-09-16,
